country,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,basic_water,pop_mils,development_index,gdp_per_capita,eco_footprint,biocapacity,deficit_or_reserve,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_score
Togo,60.610980000000005,15.25292,265.3151,0.053375,0.00669,1.26159,23.6,64.02144,6.64,0.47,580.86,1.13,0.53,-0.6,4.083063827,8.033344298,6.666666667,8.877407407,8.464285714,5.0,6.72993801,6.71990382,3.675637715,7.027928927,5.419145767,6.27724085,5.82,6.274969005,3.303
Namibia,63.67717,16.73161,295.8852,0.031925,0.003295,4.3259,24.2,82.21806,2.26,0.62,5880.8,2.48,6.88,4.4,5.796621702,6.992669937,10.0,8.725925926,8.25,8.0,7.394915502,5.284715285,6.437481728,6.141285904,6.355514643,7.757162078,6.4,6.897457751,4.574
Niger,59.82668,16.1868,250.1592,0.053865,0.0110599999999999,0.13217,21.8,49.50156,17.16,0.34,410.91,1.56,1.24,-0.32,4.150643838,6.914378347,6.666666667,7.804074074,5.345238095,4.166666667,5.714520097,6.844368088,3.659423094,7.016807914,5.485204757,7.058349425,6.01,5.862260048,3.856
Nigeria,55.19205,13.93325,352.469,0.070435,0.010275,7.81502,23.2,70.02553,168.83,0.5,2612.12,1.16,0.7,-0.47,4.327010052,5.166301919,6.666666667,7.327777778,8.175114352,3.333333333,5.823617206,7.086182942,3.603779382,7.46087942,5.90423347,7.56483519,6.32,6.071808603,4.875
Rwanda,68.03925,18.4912,198.2996,0.03073,0.002445,7.08615,22.1,56.98161999999999,11.46,0.48,628.08,0.87,0.54,-0.32,5.282069945,8.534642873,6.666666667,6.04037037,6.261904762,9.166666667,6.467739051,5.716995447,7.164967817,9.345718853,7.015027267,8.163310486,7.48,6.973869526,3.515
Senegal,66.77169,16.88008,185.1502,0.034425,0.00351,0.30068,23.0,79.46231999999999,13.73,0.46,1079.27,1.21,1.05,-0.16,4.682384661,7.83881086,6.666666667,9.022222222,8.25,2.5,6.774187769,6.830535435,4.252700728,7.198889674,6.665037837,6.152968394,6.22,6.497093885,4.219
Sierra Leone,53.1305,13.34951,388.8057,0.0908,0.0084599999999999,3.49095,22.7,59.56314,5.98,0.4,499.89,1.24,1.24,0.0,3.925095991,8.068540618,8.333333333,8.453333333,7.25,8.333333333,7.044659152,7.017647059,3.993543765,6.943524415,6.057269406,4.719437962,5.75,6.397329576,4.635
Madagascar,66.08802,17.06002,215.5435,0.03514,0.003245,0.8887799999999999,21.3,53.18465,22.29,0.51,456.33,0.99,2.63,1.64,3.613214977,8.201458953,10.0,7.540740741,8.273809524,7.5,6.835123509,7.701839237,2.789804983,7.895528282,6.704622081,5.834452003,6.19,6.512561755,3.695
Mali,57.95288000000001,15.379229999999998,269.6224,0.07332,0.011805,0.58272,23.0,76.58435,14.85,0.41,741.22,1.53,1.58,0.05,3.930245651,5.391779112,8.333333333,8.601851852,7.869047619,5.0,6.060929471,4.943583748,3.458599238,7.2042189,6.874991085,6.531318665,5.8,5.930464736,4.073
Mauritania,63.94022,16.53675,202.3809,0.056945,0.007245,0.00091,24.9,68.83202,3.8,0.5,1524.39,2.54,4.48,1.93,3.93386056,5.818886343,8.333333333,5.661111111,6.001186054,0.0,4.987749776,5.329411765,3.72380883,8.099707313,5.939447829,6.712624203,5.96,5.473874888,4.201
